session_id	original_session_id
ses-AL+T3g+101218	ses-AL_T3g_101218
ses-Al+OF+092818	ses-Al_OF_092818
ses-Al+OF+100118	ses-Al_OF_100118
ses-Al+OF+100318	ses-Al_OF_100318
ses-Al+OF+100418	ses-Al_OF_100418
ses-Al+OF+101018	ses-Al_OF_101018
ses-Al+OF+101218	ses-Al_OF_101218
ses-Al+OF+101618	ses-Al_OF_101618
ses-Al+OF+101718	ses-Al_OF_101718
ses-Al+OF+101918	ses-Al_OF_101918
ses-Al+OF+102218	ses-Al_OF_102218
ses-Al+OF+102918	ses-Al_OF_102918
ses-Al+OF+103018	ses-Al_OF_103018
ses-Al+OF+110118	ses-Al_OF_110118
ses-Al+OF+111318	ses-Al_OF_111318
ses-Al+OF+111618	ses-Al_OF_111618
ses-Al+T3g+092618	ses-Al_T3g_092618
ses-Al+T3g+092718	ses-Al_T3g_092718
ses-Al+T3g+092818	ses-Al_T3g_092818
ses-Al+T3g+100218	ses-Al_T3g_100218
ses-Al+T3g+100318	ses-Al_T3g_100318
ses-Al+T3g+100418	ses-Al_T3g_100418
ses-Al+T3g+100518	ses-Al_T3g_100518
ses-Al+T3g+101018	ses-Al_T3g_101018
ses-Al+T3g+101518	ses-Al_T3g_101518
ses-Al+T3g+101718	ses-Al_T3g_101718
ses-Al+T3g+102218	ses-Al_T3g_102218
ses-Al+T3g+102918	ses-Al_T3g_102918
ses-Al+T3g+111418	ses-Al_T3g_111418
ses-Al+T3g+111618	ses-Al_T3g_111618
