session_id	original_session_id
ses-NE+OF+052818	ses-NE_OF_052818
ses-NE+OF+052918	ses-NE_OF_052918
ses-NE+OF+053018	ses-NE_OF_053018
ses-NE+OF+053118	ses-NE_OF_053118
ses-NE+OF+060118	ses-NE_OF_060118
ses-NE+OF+060418	ses-NE_OF_060418
ses-NE+OF+060718	ses-NE_OF_060718
ses-NE+OF+060818	ses-NE_OF_060818
ses-NE+OF+061118	ses-NE_OF_061118
ses-NE+OF+061218	ses-NE_OF_061218
ses-NE+OF+061318	ses-NE_OF_061318
ses-NE+OF+061418	ses-NE_OF_061418
ses-NE+OF+061418+0001	ses-NE_OF_061418_0001
ses-NE+OF+061518	ses-NE_OF_061518
ses-NE+OF+061818	ses-NE_OF_061818
ses-NE+OF+062018	ses-NE_OF_062018
ses-NE+OF+062518	ses-NE_OF_062518
ses-NE+OF+062618	ses-NE_OF_062618
ses-NE+OF+062718	ses-NE_OF_062718
ses-NE+OF+062818	ses-NE_OF_062818
ses-NE+OF+071118	ses-NE_OF_071118
ses-NE+OF+080118	ses-NE_OF_080118
ses-NE+T3g+052818	ses-NE_T3g_052818
ses-NE+T3g+052918	ses-NE_T3g_052918
ses-NE+T3g+053118	ses-NE_T3g_053118
ses-NE+T3g+060418	ses-NE_T3g_060418
ses-NE+T3g+061218	ses-NE_T3g_061218
ses-NE+T3g+061318	ses-NE_T3g_061318
ses-NE+T3g+061418	ses-NE_T3g_061418
ses-NE+T3g+061518	ses-NE_T3g_061518
ses-NE+T3g+061818	ses-NE_T3g_061818
ses-NE+T3g+062018	ses-NE_T3g_062018
ses-NE+T3g+062518	ses-NE_T3g_062518
ses-NE+T3g+062618	ses-NE_T3g_062618
ses-NE+T3g+062918	ses-NE_T3g_062918
ses-NE+T3g+070518	ses-NE_T3g_070518
ses-NE+T3g+070618	ses-NE_T3g_070618
ses-NE+T3g+071018	ses-NE_T3g_071018
ses-NE+T3g+072518	ses-NE_T3g_072518
ses-NE+T3gj+062718	ses-NE_T3gj_062718
ses-NE+T3gj+062818	ses-NE_T3gj_062818
ses-NE+T3i+060518	ses-NE_T3i_060518
ses-NE+T3i+060618	ses-NE_T3i_060618
ses-NE+T3i+061118	ses-NE_T3i_061118
ses-NE+T3i+062918	ses-NE_T3i_062918
ses-NE+T3i+070218	ses-NE_T3i_070218
ses-NE+T3i+070518	ses-NE_T3i_070518
ses-NE+T3i+071018	ses-NE_T3i_071018
ses-NE+T3i+072518	ses-NE_T3i_072518
ses-NE+T3j+062918	ses-NE_T3j_062918
ses-Ne+OF+060518	ses-Ne_OF_060518
ses-Ne+T3g+060118	ses-Ne_T3g_060118
ses-Ne+T3i+060818	ses-Ne_T3i_060818
